"Domaine","Table","Attribut","Type"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","id_commandeachat","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","categorie_sav","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","commande_issue_d_une_reception_immediate","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","commande_ouverte","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","commentaire","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","creee_le","date"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","date_creation_systeme","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","date_de_publication","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","date_fin_validite","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","date_modification_systeme","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","date_de_revue","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","etat_d_expedition","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","etat_de_facturation","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","etat_de_reception","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","etat_du_reglement","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","identifiant_edi","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","montant_de_l_acompte","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","montant_de_l_acompte_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","montant_de_l_escompte","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","montant_de_l_escompte_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","nature_de_l_achat","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","net_a_payer","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","net_a_payer_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","nombre_d_avenants","integer"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","numero_de_la_commande","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","poids_total","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","pourcentage_d_acompte","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","pourcentage_d_escompte","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","reference","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","revue","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","soustraitance","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","statut_de_la_publication","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","total_ht","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","total_ht_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","total_ttc","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","total_ttc_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","total_tva","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","total_tva_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_commandeachat","type_facturation","character varying"
